,PRICE_NEW,BRANDNAME,KM_INT,FUEL,BODY,GEARBOX,DRIVE,COLOR,AGE,ENGINERANGE
202,4900000,Toyota,73000.0,Diesel,SUV,Automatic,4WD,Silver,14,2001-2500(cc)
205,3650000,Toyota,79000.0,Diesel,Pickup,Manual,4WD,Other Colors,13,2001-2500(cc)
211,1970000,Toyota,59000.0,Petrol,SUV,Automatic,2WD,Blue,13,1001-1500(cc)
212,6000000,Toyota,256309.0,Diesel,SUV,Manual,4WD,Other Colors,13,2901-above(cc)
213,5800000,Toyota,70000.0,Diesel,SUV,Manual,2WD,Other Colors,13,1001-1500(cc)
214,3200000,Toyota,75000.0,Diesel,Pickup,Manual,4WD,Gray,13,2901-above(cc)
215,1750000,Toyota,61000.0,Petrol,SUV,Automatic,2WD,Gray,13,1001-1500(cc)
216,3350000,Toyota,65000.0,Petrol,Sedan,Automatic,4WD,Gray,13,2001-2500(cc)
217,2450000,Toyota,60000.0,Petrol,Sedan,Manual,2WD,Gray,13,1501-2000(cc)
220,2000000,Toyota,25000.0,Petrol,SUV,Manual,4WD,Other Colors,13,2001-2500(cc)
221,7000000,Toyota,25000.0,Petrol,SUV,Automatic,4WD,Silver,13,2001-2500(cc)
222,3550000,Toyota,36800.0,Diesel,Pickup,Manual,4WD,Silver,13,2001-2500(cc)
223,3750000,Toyota,72000.0,Diesel,Pickup,Manual,4WD,Silver,13,2001-2500(cc)
224,2575000,Toyota,54000.0,Petrol,Sedan,Manual,2WD,Silver,13,1501-2000(cc)
227,7500000,Toyota,54000.0,Diesel,SUV,Automatic,4WD,Other Colors,11,2901-above(cc)
228,4500000,Toyota,116000.0,Diesel,Pickup,Manual,4WD,Gray,12,2001-2500(cc)
229,1850000,Toyota,92000.0,Petrol,SUV,Manual,2WD,Gray,12,1001-1500(cc)
231,1850000,Toyota,92000.0,Petrol,SUV,Manual,2WD,Other Colors,12,1001-1500(cc)
235,3900000,Toyota,112000.0,Diesel,SUV,Manual,4WD,White,12,2901-above(cc)
